     1→     1→--- Page 1 ---
     2→     2→2025
     3→     3→*R020320252*
     4→     4→QUESTÃO01
     5→     5→TEXTO1
     6→     6→AEducaçãodeJovenseAdultos(EJA)éumamodalidadedeensinodestinadaapessoasquenãoestãoinseridasnaeducação
     7→     7→regularpormotivosdiversos.Nessecontextoeducacional,esseestudantepossuiumahistóriadevida,sobretudoporser,
     8→     8→efetivamente,umsujeitoativonasesferassociais.
     9→     9→PEREIRA,P.F.;REINALDO,M.A.G.Ensino-aprendizagemdechargenaEJA:
    10→    10→umaexperiêncianocontextodeestágiosupervisionado.IIICINTED(adaptado).
    11→    11→TEXTO2
    12→    12→AsconcepçõesrestritasveemaEJAapenasemseucarátermarginalesecundário,camuflandoosaspectospolíticos,culturais
    13→    13→epedagógicos.Sobumaabordagemsistêmica,aEJAétratadacomopartedahistóriadaeducaçãodopaíse,comotal,
    14→    14→umamodalidadeimportantenoprocessodedemocratizaçãododireitoàeducação.
    15→    15→ALMEIDA,A.EJA:umaeducaçãoparaotrabalhoouparaaclassetrabalhadora?
    16→    16→RevistaBrasileiradeEducaçãodeJovenseAdultos,2016(adaptado).
    17→    17→Considerandoostextos1e2,aalternativaqueapresentaumaaçãopedagógicacondizentecomaabordagemsistêmicadaEJAé
    18→    18→A garantirainclusãodetemasrelacionadosàprofissionalizaçãodosestudantesedeatividadesrelativasaomundodotrabalho.
    19→    19→B proporumaorganizaçãocurricularqueoportunizeaobtençãodeumdiplomaàquelaspessoasquenãopuderamfrequentaraescola.
    20→    20→C desenvolverprojetosdeletramentoqueintegremexperiênciasdevidadosestudantesatemascomotrabalho,identidades
    21→    21→culturaisevivênciasintergeracionais.
    22→    22→D elaborarumapropostadeorganizaçãocurricularqueassegureocumprimentodasdiretrizesnacionaisaosestudantesea
    23→    23→garantiadosmesmosconteúdosedosmesmosmétodosaplicadosaoensinoregular.
    24→    24→QUESTÃO02
    25→    25→Oletramentocientíficorepresentaumacompetênciaessencialnocontextoeducacionaletemcomofinalidadeproporcionar
    26→    26→queosindivíduoscompreendam,apliquemesejamcríticosaoconhecimentocientíficoaserutilizadoemsuasvidascotidianas.
    27→    27→SOUSA,L.Q.;ABREU,K.F.AnálisedeEstudosePesquisassobreLetramentoCientífico.
    28→    28→CadernosCajuína,n.4,2024.
    29→    29→Considerandooquerepresentaoletramentocientífico,aequipegestoradeumaescolaplanejaorganizarumapalestracomo
    30→    30→objetivodeconscientizaracomunidadeescolardequeaciência
    31→    31→A fundamenta-senorigormetodológicocomorespaldoparaosargumentosproduzidoseapresentadospublicamente.
    32→    32→B respeitaaliberdadeindividualealivretomadadedecisãocomodireitossobrepostosàsescolhascoletivas.
    33→    33→C permitearefutaçãoderesultadosamplamenteaceitosemfunçãodeposicionamentosindividuais.
    34→    34→D buscaaimpessoalidade,aobjetividadeeaneutralidade,àpartedeinfluênciaspolíticas.
    35→    35→Árealivre
    36→    36→PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PMD2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025
    37→    37→2 FORMAÇÃOGERALDOCENTE
    38→    38→R02032025 - CIENCIAS_BIOLOGICAS.indb 2 21/08/2025 17:49:44
    39→    39→
    40→    40→--- Page 2 ---
    41→    41→2025
    42→    42→*R020320253*
    43→    43→QUESTÃO03
    44→    44→Emumareuniãodeplanejamento,foipropostaumadiscussãosobreosdiferentestiposdeavaliaçãoesuasaplicaçõesno
    45→    45→processodeensinoedeaprendizagem.Foramapresentadasascaracterísticaseasfunçõesdasavaliaçõesdiagnóstica,formativa
    46→    46→esomativanocontextoescolar.Osprofessoresforamconvidadosadescreversuaspráticaspedagógicasearelacioná-lasaos
    47→    47→diferentesobjetivosdasavaliações.
    48→    48→Entreasatividadesavaliativasdescritas,éassociadaàfunçãoformativaaquelaque
    49→    49→A iniciaoensinodefraçõescomumaatividadederecortesdemodelosdepizzasdepapeldivididasempartesiguais,para
    50→    50→queosestudantesresolvamumalistadeexercícios.
    51→    51→B propõeumasériedeperguntasparaseremrespondidaspelosestudantessobreotemadedesmatamentoilegal,como
    52→    52→intuitodeidentificarosconhecimentospréviosdosestudantessobreoassunto.
    53→    53→C oferecedevolutivasparaaproduçãocoletivadeumalinhadotempocommarcosdaRevoluçãoIndustrial,afimdeorientar
    54→    54→oquepodeseraperfeiçoadonotrabalho.
    55→    55→D aplicaumaprovaescritacomquestõesobjetivasedissertativassobreosciclosbiogeoquímicos,comafinalidadedeclassificar
    56→    56→osestudantes.
    57→    57→QUESTÃO04
    58→    58→Asavaliaçõesexternasemlargaescala,comooSistemaNacionaldeAvaliaçãodaEducaçãoBásica(Saeb),sãoutilizadas
    59→    59→comoinstrumentosdeaferiçãodaqualidadedaEducaçãoBásicanoBrasil.SeuresultadoéutilizadonocálculodoÍndicede
    60→    60→DesenvolvimentodaEducaçãoBásica(Ideb)dasescolas.UmadeterminadaescolarecebeusuanotadoIdeb,eoresultadoficou
    61→    61→abaixodamédiaprevista.Diantedisso,adireçãofezumareuniãocomocorpodocenteparatraçarmetasparaamelhoriado
    62→    62→desempenhodaescola.
